Sites_Code	Class
A1		Urban
A10		Suburban
A17		Suburban
A18		Suburban
A19		Suburban
A20		Suburban
A21		Suburban
A22		Suburban
A23		Suburban
A3		Urban
A4		Suburban
A5		Rural
A6		Rural
A9		Suburban
B10		Urban
B11		Urban
B12		Rural
B13		Rural
B14		Rural
B15		Suburban
B16		Rural
B18		Suburban
B19		Suburban
B24		Suburban
B25		Suburban
B26		Suburban
B27		Urban
B29		Rural
B30		Rural
B31		Suburban
B32		Rural
B4		Urban
B5		Urban
B6		Urban
B8		Urban
B9		Urban
C10		Suburban
C11		Suburban
C12		Rural
C14		Urban
C15		Rural
C16		Rural
C17		Rural
C18		Suburban
C19		Suburban
C2		Urban
C20		Urban
C21		Urban
C22		Urban
C23		Suburban
C24		Suburban
C25		Suburban
C26		Urban
C27		Urban
C28		Urban
C29		Urban
C3		Urban
C30		Urban
C31		Urban
C32		Urban
C33		Urban
C34		Suburban
C35		Urban
C36		Suburban
C37		Suburban
C38		Suburban
C39		Rural
C4		Urban
C40		Rural
C41		Suburban
C42		Rural
C5		Urban
C6		Urban
C7		Urban
C8		Urban
C9		Suburban
D1		Urban
D11		Suburban
D12		Suburban
D13		Suburban
D14		Rural
D15		Suburban
D16		Suburban
D2		Suburban
D3		Suburban
D4		Suburban
D5		Suburban
D7		Suburban
E1		Urban
E11		Urban
E13		Urban
E2		Urban
E3		Urban
