Chromsome	GeneCount	Class
NC_012835.1	13	Low-Density
NC_134455.1	2951	High-Density
NC_134456.1	1793	Low-Density
NC_134457.1	1612	Low-Density
NC_134458.1	1608	Low-Density
NC_134459.1	1350	Low-Density
NC_134460.1	1162	Low-Density
NC_134461.1	1174	Low-Density
NC_134462.1	968	Low-Density
NC_134463.1	993	Low-Density
NC_134464.1	940	Low-Density
NC_134465.1	684	Low-Density
NC_134466.1	726	Low-Density
NC_134467.1	561	Low-Density
